# This data can be accessed openly but users of the data are requested to acknowledge the Canadian Space Agency and the CANOPUS team in their publications.
# The following CANOPUS reference paper should also be cited: 
# Rostoker G. et al. (1993) CANOPUS - a ground-based instrument array for remote sensing the high latitude ionosphere during the ISTP/GGS program
# Site Lat Long yyyymmdd CoordSys Units no of records
 RANK 62.824 267.890 19860118 GEODETIC nT 15104
 
# Date(dd/mm/yyyy),time(hh:mi:ss),X,Y,Z,F=. if the data is valid anything else the data is suspect.
1986/01/18,03:13:06,820.400,-0.100,-0.100,.
1986/01/18,03:13:11,1093.700,-0.100,0.500,.
1986/01/18,03:13:16,410.400,-0.100,0.000,.
1986/01/18,03:13:21,-547.600,-0.100,-1.100,.
1986/01/18,03:13:26,-820.900,0.000,-1.700,.
1986/01/18,03:13:31,-136.900,0.000,-1.200,.
1986/01/18,03:13:36,820.400,-0.100,-0.100,.
1986/01/18,03:13:41,1093.700,-0.100,0.500,.
1986/01/18,03:13:46,410.400,-0.100,0.000,.
1986/01/18,03:13:51,-547.600,-0.100,-1.100,.
1986/01/18,03:13:56,-820.900,0.000,-1.700,.
1986/01/18,03:14:01,-136.900,0.000,-1.200,.
1986/01/18,03:14:06,820.400,-0.100,-0.100,.
1986/01/18,03:14:11,1093.700,-0.100,0.500,.
1986/01/18,03:14:16,410.400,-0.100,0.000,.
1986/01/18,03:14:21,-547.600,-0.100,-1.100,.
1986/01/18,03:14:26,-820.900,0.000,-1.700,.
1986/01/18,03:14:31,-136.900,0.000,-1.200,.
1986/01/18,03:14:36,820.400,-0.100,-0.100,.
1986/01/18,03:14:41,1093.700,-0.100,0.500,.
1986/01/18,03:14:46,410.400,-0.100,0.000,.
1986/01/18,03:14:51,-547.600,-0.100,-1.100,.
1986/01/18,03:14:56,-820.900,0.000,-1.700,.
1986/01/18,03:15:01,-136.900,0.000,-1.200,.
1986/01/18,03:15:06,820.400,-0.100,-0.100,.
1986/01/18,03:15:11,1093.700,-0.100,0.500,.
1986/01/18,03:15:16,410.400,-0.100,0.000,.
1986/01/18,03:15:21,-547.600,-0.100,-1.100,.
1986/01/18,03:15:26,-820.900,0.000,-1.700,.
1986/01/18,03:15:31,-136.900,0.000,-1.200,.
1986/01/18,03:15:36,820.400,-0.100,-0.100,.
1986/01/18,03:15:41,1093.700,-0.100,0.500,.
1986/01/18,03:15:46,410.400,-0.100,0.000,.
1986/01/18,03:15:51,-547.600,-0.100,-1.100,.
1986/01/18,03:15:56,-820.900,0.000,-1.700,.
1986/01/18,03:16:01,-136.900,0.000,-1.200,.
1986/01/18,03:16:06,820.400,-0.100,-0.100,.
1986/01/18,03:16:11,1093.700,-0.100,0.500,.
1986/01/18,03:16:16,410.400,-0.100,0.000,.
1986/01/18,03:16:21,-547.600,-0.100,-1.100,.
1986/01/18,03:16:26,-820.900,0.000,-1.700,.
1986/01/18,03:16:31,-136.900,0.000,-1.200,.
1986/01/18,03:16:36,820.400,-0.100,-0.100,.
1986/01/18,03:16:41,1093.700,-0.100,0.500,.
1986/01/18,03:16:46,410.400,-0.100,0.000,.
1986/01/18,03:16:51,-547.600,-0.100,-1.100,.
1986/01/18,03:16:56,-820.900,0.000,-1.700,.
1986/01/18,03:17:01,-136.900,0.000,-1.200,.
1986/01/18,03:17:06,820.400,-0.100,-0.100,.
1986/01/18,03:17:11,1093.700,-0.100,0.500,.
